Datetime,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Line Number,Cause for Delay,Station Name
8/23/2020 0:42:00,Sunday,YONGE BD STATION,MUIRS,0,0,E,BD,5280,LINE 2,Injured or ill Customer (In Station) - Medical Aid Refused,NO MATCH
8/28/2020 0:49:00,Friday,YONGE BD STATION,SUDP,0,0,W,BD,5230,LINE 2,Disorderly Patron,NO MATCH
8/31/2020 6:51:00,Monday,BLOOR VIADUCT,PUTTP,3,6,E,BD,5163,LINE 2,Traction Power Rail Related,NO MATCH
8/31/2020 16:50:00,Monday,YONGE BD STATION,MUI,5,8,E,BD,5357,LINE 2,Injured or ill Customer (On Train) - Transported,NO MATCH
8/31/2020 18:37:00,Monday,YONGE BD STATION,SUDP,0,0,E,BD,5255,LINE 2,Disorderly Patron,NO MATCH
9/1/2020 8:30:00,Tuesday,YONGE SHEP STATION,TUSC,0,0,W,SHP,6151,LINE 4,Operator Overspeeding,NO MATCH
9/1/2020 20:24:00,Tuesday,YONGE BD STATION,SUDP,4,10,W,BD,5306,LINE 2,Disorderly Patron,NO MATCH
9/1/2020 23:14:00,Tuesday,YONGE BD STATION,MUIR,4,10,W,BD,5090,LINE 2,Injured or ill Customer (On Train) - Medical Aid Refused,NO MATCH
9/2/2020 15:33:00,Wednesday,YONGE SHEP STATION,MUIS,0,0,E,SHP,0,LINE 4,Injured or ill Customer (In Station) - Transported,NO MATCH
9/3/2020 18:05:00,Thursday,YONGE BD STATION,TUS,4,8,E,BD,5306,LINE 2,Crew Unable to Maintain Schedule,NO MATCH
9/4/2020 14:52:00,Friday,YONGE BD STATION,SUO,0,0,E,BD,5161,LINE 2,Passenger Other,NO MATCH
9/4/2020 23:50:00,Friday,YONGE BD STATION,SUUT,8,14,W,BD,5101,LINE 2,Unauthorized at Track Level,NO MATCH
9/5/2020 20:22:00,Saturday,YONGE SHEP STATION,PUOPO,6,11,E,SHP,6161,LINE 4,OPTO (COMMS) Train Door Monitoring,NO MATCH
9/7/2020 9:36:00,Monday,YONGE SHEP STATION,PUCSC,9,14,E,SHP,6176,LINE 4,Signal Control Problem - Signals,NO MATCH
9/8/2020 9:28:00,Tuesday,YONGE SHEP STATION,EUME,4,9,E,SHP,6196,LINE 4,RC&S Maintenance Error - (Human),NO MATCH
9/8/2020 17:03:00,Tuesday,MARKDALE EE,SUUT,14,17,N,YU,5881,LINE 1,Unauthorized at Track Level,NO MATCH
9/9/2020 0:31:00,Wednesday,YONGE BD STATION,SUEAS,8,14,E,BD,5235,LINE 2,Emergency Alarm Station Activation,NO MATCH
9/10/2020 8:16:00,Thursday,YONGE SHEP STATION,TUSC,0,0,E,SHP,6141,LINE 4,Operator Overspeeding,NO MATCH
9/11/2020 2:10:00,Friday,LEAVING DON MILLS,TUMVS,4,10,W,SHP,6156,LINE 4,Operator Violated Signal,NO MATCH
9/11/2020 2:26:00,Friday,YONGE SHEP STATION,TUMVS,0,0,W,SHP,6166,LINE 4,Operator Violated Signal,NO MATCH
9/13/2020 0:50:00,Sunday,YONGE SHEP STATION,MUO,5,11,E,SHP,6181,LINE 4,Miscellaneous Other,NO MATCH
9/15/2020 22:03:00,Tuesday,YONGE BD STATION,SUO,0,0,E,BD,5161,LINE 2,Passenger Other,NO MATCH
9/16/2020 8:31:00,Wednesday,YONGE SHEP STATION,TUDOE,14,19,E,SHP,6186,LINE 4,Doors Open in Error,NO MATCH
9/17/2020 12:59:00,Thursday,YONGE SHEP STATION,TUSC,0,0,W,SHP,6141,LINE 4,Operator Overspeeding,NO MATCH
9/18/2020 5:55:00,Friday,YONGE BD STATION,TUO,4,0,W,BD,5132,LINE 2,Transportation Department - Other,NO MATCH
9/20/2020 22:38:00,Sunday,YONGE BD STATION,SUAP,0,0,W,BD,5250,LINE 2,Assault / Patron Involved,NO MATCH
9/21/2020 5:25:00,Monday,YONGE SHEP STATION,EUOE,0,0,E,SHP,6186,LINE 4,Rail Cars & Shops Opr. Error,NO MATCH
